r,H2O_B1-H2O_B1
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.0
1.35,0.0
1.4500000000000002,0.0
1.55,0.0
1.6500000000000001,0.0
1.75,0.0
1.85,0.0
1.9500000000000002,0.0
2.05,0.0
2.1500000000000004,0.0
2.25,0.0
2.3500000000000005,1.7248426771584277e-05
2.45,0.010525325694731993
2.55,0.32364538664544484
2.6500000000000004,1.5877957995594345
2.75,2.636913874460949
2.8500000000000005,2.4855747991939694
2.95,1.892520759275599
3.05,1.4293854479537784
3.1500000000000004,1.170680712741878
3.25,1.045094191845442
3.3500000000000005,0.9844363586504632
3.45,0.9566371856303849
3.55,0.9425432746597977
3.6500000000000004,0.9392409496878816
3.75,0.9425142815565847
3.8500000000000005,0.9484297159162742
3.95,0.9558442281434765
4.050000000000001,0.9644747409071145
4.15,0.9789575533493338
4.25,0.9839554907088868
4.35,0.9892265554435083
4.45,0.9925026426737047
4.550000000000001,0.9958002715154621
4.65,0.9954893110578367
4.75,0.9947807623319821
4.8500000000000005,0.9948206254354429
4.95,0.9938509447711216
5.050000000000001,0.9945128066217601
5.15,0.995640486191778
5.25,0.9992752334530013
5.3500000000000005,0.9960280917479231
5.45,0.9933377170322781
5.550000000000001,0.9845855278714111
5.65,0.9758467724034886
5.75,0.9705640937009071
5.8500000000000005,0.9714641895423567
5.95,0.9735838268063037
6.050000000000001,0.980528053246522
6.15,0.9868375702531346
6.25,0.9950759786102958
6.3500000000000005,1.0013218998928255
6.45,1.0087070971842245
6.550000000000001,1.0132921626683669
6.65,1.01890843802196
6.75,1.021152151935251
6.8500000000000005,1.0230375944910297
6.95,1.024272679347543
7.050000000000001,1.0222577852695736
7.15,1.0183794505061883
7.25,1.0157021191879485
7.3500000000000005,1.0119186829055322
7.45,1.0071505568910841
7.550000000000001,1.0046653444436935
7.65,0.9992000891645726
7.75,0.9969821013558327
7.8500000000000005,0.9930119293260457
7.95,0.9916063263938112
8.05,0.9902948079794104
8.15,0.989935547313543
8.25,0.9902453109298202
8.350000000000001,0.989358991205169
8.45,0.9919191664331183
8.55,0.9930880801157846
8.65,0.995232057044936
8.75,0.9966209882077759
8.850000000000001,0.9980184342122794
8.95,1.000333809195324
9.05,1.0014679580297434
9.15,1.0024674527830206
9.25,1.0035244578917646
9.350000000000001,1.0032819753552993
9.45,1.0043558153334202
9.55,1.003751070100998
9.650000000000002,1.0043896025350532
9.75,1.0038283220047322
9.850000000000001,1.002983504295335
9.95,1.0021089812428436
10.05,1.0026763271589965
10.150000000000002,1.0007777091683934
10.25,1.0014788755151123
10.350000000000001,1.0003262903029255
10.45,1.0007358093481526
10.55,1.000582287959209
10.650000000000002,0.9998653731965939
10.75,0.9996545517464132
10.850000000000001,0.9997823294217492
10.95,1.0003157569702015
11.05,0.9996006018499497
11.150000000000002,1.0002018185705126
11.25,0.9998847944812556
11.350000000000001,0.9997453069026923
11.45,0.9996229094331727
11.55,0.9998731372963203
11.650000000000002,1.0001331639448583
11.75,1.0005769617676525
11.850000000000001,1.0007355109865683
11.95,0.9995961696073314
12.05,1.0002852765899184
12.150000000000002,1.0004423844967782
12.25,1.000129831411508
12.350000000000001,1.000413392528563
12.45,1.0009531151186857
12.55,1.0007211189827803
12.650000000000002,1.0001157776762277
12.75,1.0006216846493605
12.850000000000001,1.0005740632033602
12.95,1.0003421093576945
13.05,1.0000896576162441
13.150000000000002,1.0010476734370148
13.25,1.0007856593191344
13.350000000000001,1.0008195060166734
13.45,1.00101581674324
13.55,1.000952954535916
13.650000000000002,1.0005206428832047
13.75,1.0003912928213885
13.850000000000001,1.000420474575597
13.95,0.99991140777475
14.05,1.0002740083192094
14.150000000000002,1.0005084344417199
14.25,1.000085820349407
14.350000000000001,1.000386933535303
14.45,1.000905612132397
14.55,1.0004994774099722
14.650000000000002,1.0005420134376144
14.75,1.0002597828739066
14.850000000000001,1.0008503217458633
14.95,1.000386022211166
15.05,0.9998051644261083
15.150000000000002,1.0012052659347195
15.25,1.0003169803871153
15.350000000000001,1.0009901551215539
15.45,1.0004434408505307
15.55,1.0000082027358328
15.650000000000002,1.0004340489147283
15.75,1.0006480893041108
15.850000000000001,1.0004592192817796
15.95,1.0004560125282287
16.05,1.0002943112670724
16.15,1.0002129320662134
16.25,1.0008281440063436
16.35,1.0002253969446808
16.450000000000003,1.0004261925068263
16.55,1.0007956315470696
16.65,1.0000320373698721
16.75,1.00034959073412
16.85,0.9999523215462454
16.950000000000003,1.0005213856831512
17.05,1.0005371661233236
17.15,1.0002650170024399
17.25,1.0011177158118785
17.35,1.0002249546892987
17.450000000000003,1.0007366672926952
17.55,1.0006561025017746
17.65,1.0007193832938892
17.75,1.0001543118139864
17.85,1.0009942171771056
17.950000000000003,1.0008531068683753
18.05,1.0004703248936786
18.15,1.000068738730089
18.25,1.0004048895972886
18.35,1.0002728565709404
18.450000000000003,0.9998749279115524
18.55,1.000258278854175
18.65,1.0006520807914658
18.75,1.0003565193856905
18.85,1.0005213205930314
18.950000000000003,1.0005847560791288
19.05,1.0006954180369692
19.150000000000002,1.0003119244249021
19.25,1.001046031338928
19.35,1.0006133371791741
19.450000000000003,1.0000546245375976
19.55,0.9991706703929978
19.650000000000002,0.985754369306637
19.75,0.970546865433769
19.85,0.9558434963327951
19.950000000000003,0.9413051137767968
