Iteration,Gradient Norm
0,0.006324555691433069
1,0.006315496913650149
2,0.006318466789087023
3,0.006312926004142546
4,0.0062805880706054175
5,0.006281234533104449
6,0.006272806842633939
7,0.0062249406879288215
8,0.006226863501171449
9,0.006224582335423419
10,0.006211860810283145
11,0.006194409325876618
12,0.00618762986047007
13,0.006190934883912176
14,0.006168114461305226
15,0.006156352643100035
16,0.006162716903770695
17,0.006146085401271617
18,0.006142898650267631
19,0.0061113254673458885
